"SPXNPEF.Code.or.Value","SPXNPEF.Value.Description","SPXNPEF.Count","SPXNPEF.Cumulative","SPXNPEF.Skip.to.Item"
"901 to 19024","Range of Values",6652,6652,NA
".","Missing",843,7495,NA
