"DX2LRBMD.Code.or.Value","DX2LRBMD.Value.Description","DX2LRBMD.Count","DX2LRBMD.Cumulative","DX2LRBMD.Skip.to.Item"
"0.456 to 1.014","Range of Values",443,443,NA
".","Missing",42,485,NA
