"WBXF021.Code.or.Value","WBXF021.Value.Description","WBXF021.Count","WBXF021.Cumulative","WBXF021.Skip.to.Item"
"667.4199 to 667.4199","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
