"AUXTMEPR.Code.or.Value","AUXTMEPR.Value.Description","AUXTMEPR.Count","AUXTMEPR.Cumulative","AUXTMEPR.Skip.to.Item"
"-299 to 199","Range of Values",2654,2654,NA
".","Missing",477,3131,NA
