"DXXTRLI.Code.or.Value","DXXTRLI.Value.Description","DXXTRLI.Count","DXXTRLI.Cumulative","DXXTRLI.Skip.to.Item"
"6087.6 to 57055.5","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
