"SMD080.Code.or.Value","SMD080.Value.Description","SMD080.Count","SMD080.Cumulative","SMD080.Skip.to.Item"
"0 to 30","Range of Values",1171,1171,NA
"77","Refused",0,1171,NA
"99","Don't know",0,1171,NA
".","Missing",4240,5411,NA
