"MCQ267A.Code.or.Value","MCQ267A.Value.Description","MCQ267A.Count","MCQ267A.Cumulative","MCQ267A.Skip.to.Item"
"1","Father",249,249,NA
"7","Refused",0,249,NA
"9","Don't know",0,249,NA
".","Missing",9396,9645,NA
