"DXXNKA.Code.or.Value","DXXNKA.Value.Description","DXXNKA.Count","DXXNKA.Cumulative","DXXNKA.Skip.to.Item"
"1.11 to 7.23","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
