"LBXHPE.Code.or.Value","LBXHPE.Value.Description","LBXHPE.Count","LBXHPE.Cumulative","LBXHPE.Skip.to.Item"
"0.0065 to 1.2601","Range of Values",1963,1963,NA
".","Missing",374,2337,NA
