"WTSAU26.Code.or.Value","WTSAU26.Value.Description","WTSAU26.Count","WTSAU26.Cumulative","WTSAU26.Skip.to.Item"
"0 to 474036.55982","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
