"LBDHEM.Code.or.Value","LBDHEM.Value.Description","LBDHEM.Count","LBDHEM.Cumulative","LBDHEM.Skip.to.Item"
"1","Positive",86,86,NA
"2","Negative",6706,6792,NA
"3","Indeterminate",0,6792,NA
".","Missing",643,7435,NA
