"WBXP010.Code.or.Value","WBXP010.Value.Description","WBXP010.Count","WBXP010.Cumulative","WBXP010.Skip.to.Item"
"-165.9945 to 145.8068","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
