"LBD195LC.Code.or.Value","LBD195LC.Value.Description","LBD195LC.Count","LBD195LC.Cumulative","LBD195LC.Skip.to.Item"
"0","At or above the detection limit",180,180,NA
"1","Below lower detection limit",84,264,NA
".","Missing",0,264,NA
