"BAQ080B.Code.or.Value","BAQ080B.Value.Description","BAQ080B.Count","BAQ080B.Cumulative","BAQ080B.Skip.to.Item"
"1","Yes",6,6,NA
"2","No",412,418,NA
"7","Refused",0,418,NA
"9","Don't know",0,418,NA
".","Missing",2881,3299,NA
