"LBXBZAL.Code.or.Value","LBXBZAL.Value.Description","LBXBZAL.Count","LBXBZAL.Cumulative","LBXBZAL.Skip.to.Item"
"0.326 to 28.2","Range of Values",1661,1661,NA
".","Missing",944,2605,NA
