"DUQ213.Code.or.Value","DUQ213.Value.Description","DUQ213.Count","DUQ213.Cumulative","DUQ213.Skip.to.Item"
"12 to 55","Range of Values",853,853,NA
"11","11 years or under",15,868,NA
"777","Refused",0,868,NA
"999","Don't know",0,868,NA
".","Missing",3704,4572,NA
