"DX2DAY.Code.or.Value","DX2DAY.Value.Description","DX2DAY.Count","DX2DAY.Cumulative","DX2DAY.Skip.to.Item"
"3 to 47","Range of Values",479,479,NA
".","Missing",6,485,NA
