"VTQ281F.Code.or.Value","VTQ281F.Value.Description","VTQ281F.Count","VTQ281F.Cumulative","VTQ281F.Skip.to.Item"
"1 to 48","Range of Values",206,206,NA
"77","Refused",0,206,NA
"99","Don't know",0,206,NA
".","Missing",3283,3489,NA
