"URDNABLC.Code.or.Value","URDNABLC.Value.Description","URDNABLC.Count","URDNABLC.Cumulative","URDNABLC.Skip.to.Item"
"0","At or above detection limit",1463,1463,NA
"1","Below lower detection limit",6460,7923,NA
".","Missing",368,8291,NA
