"CBD760.Code.or.Value","CBD760.Value.Description","CBD760.Count","CBD760.Cumulative","CBD760.Skip.to.Item"
"16 to 78","Range of Values",1656,1656,NA
"80",">= 80 years of age",0,1656,NA
"777","Refused",0,1656,NA
"999","Don't know",0,1656,NA
".","Missing",389,2045,NA
