"LBXBR6.Code.or.Value","LBXBR6.Value.Description","LBXBR6.Count","LBXBR6.Cumulative","LBXBR6.Skip.to.Item"
"2.8 to 3185.8","Range of Values",2040,2040,NA
".","Missing",297,2337,NA
