"LBXTT4.Code.or.Value","LBXTT4.Value.Description","LBXTT4.Count","LBXTT4.Cumulative","LBXTT4.Skip.to.Item"
"2.9 to 19.09","Range of Values",1964,1964,NA
".","Missing",213,2177,NA
