"ARQ022B.Code.or.Value","ARQ022B.Value.Description","ARQ022B.Count","ARQ022B.Cumulative","ARQ022B.Skip.to.Item"
"2 to 68","Range of Values",328,328,NA
"777","Refused",0,328,NA
"999","Don't Know",6,334,NA
".","Missing",4772,5106,NA
