"SSDBZPL.Code.or.Value","SSDBZPL.Value.Description","SSDBZPL.Count","SSDBZPL.Cumulative","SSDBZPL.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",2429,2430,NA
".","Missing",0,2430,NA
