"LB2TRSI.Code.or.Value","LB2TRSI.Value.Description","LB2TRSI.Count","LB2TRSI.Cumulative","LB2TRSI.Skip.to.Item"
"0.28 to 10.69","Range of Values",284,284,NA
".","Missing",260,544,NA
