"MPQ120AF.Code.or.Value","MPQ120AF.Value.Description","MPQ120AF.Count","MPQ120AF.Cumulative","MPQ120AF.Skip.to.Item"
"41","Foot - left",130,130,NA
".","Missing",4911,5041,NA
