"LBXOD9.Code.or.Value","LBXOD9.Value.Description","LBXOD9.Count","LBXOD9.Cumulative","LBXOD9.Skip.to.Item"
"2.07 to 127","Range of Values",4485,4485,NA
".","Missing",938,5423,NA
