"PAQ610.Code.or.Value","PAQ610.Value.Description","PAQ610.Count","PAQ610.Cumulative","PAQ610.Skip.to.Item"
"1 to 7","Range of Values",1388,1388,""
"77","Refused",0,1388,"PAQ620"
"99","Don't know",1,1389,"PAQ620"
".","Missing",4467,5856,""
