"WBXA003.Code.or.Value","WBXA003.Value.Description","WBXA003.Count","WBXA003.Cumulative","WBXA003.Skip.to.Item"
"-5.5902 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
