"SSNUCSPP.Code.or.Value","SSNUCSPP.Value.Description","SSNUCSPP.Count","SSNUCSPP.Cumulative","SSNUCSPP.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
