"BAAEXSTS.Code.or.Value","BAAEXSTS.Value.Description","BAAEXSTS.Count","BAAEXSTS.Cumulative","BAAEXSTS.Skip.to.Item"
"1","Complete",2429,2429,NA
"2","Partial",74,2503,NA
"3","Not done",583,3086,NA
".","Missing",0,3086,NA
