"CVDEXMER.Code.or.Value","CVDEXMER.Value.Description","CVDEXMER.Count","CVDEXMER.Cumulative","CVDEXMER.Skip.to.Item"
"15 to 90","Range of Values",4663,4663,NA
".","Missing",0,4663,NA
