"RIDSTATR.Code.or.Value","RIDSTATR.Value.Description","RIDSTATR.Count","RIDSTATR.Cumulative","RIDSTATR.Skip.to.Item"
"1","Interviewed only",550,550,NA
"2","Both interviewed and MEC examined",8704,9254,NA
".","Missing",0,9254,NA
