"WBXF004.Code.or.Value","WBXF004.Value.Description","WBXF004.Count","WBXF004.Cumulative","WBXF004.Skip.to.Item"
"297.3018 to 297.3018","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
