"SSPV1.Code.or.Value","SSPV1.Value.Description","SSPV1.Count","SSPV1.Cumulative","SSPV1.Skip.to.Item"
"2.5 to 10.5","Range of Values",4254,4254,NA
".","Missing",0,4254,NA
