"SSTCAMFI.Code.or.Value","SSTCAMFI.Value.Description","SSTCAMFI.Count","SSTCAMFI.Cumulative","SSTCAMFI.Skip.to.Item"
"-9 to 20830.5","Range of Values",6578,6578,NA
".","Missing",0,6578,NA
