"DRD370TQ.Code.or.Value","DRD370TQ.Value.Description","DRD370TQ.Count","DRD370TQ.Cumulative","DRD370TQ.Skip.to.Item"
"1 to 30","Range of Values",1042,1042,NA
".","Missing",7662,8704,NA
