"LB2EPPSI.Code.or.Value","LB2EPPSI.Value.Description","LB2EPPSI.Count","LB2EPPSI.Cumulative","LB2EPPSI.Skip.to.Item"
"0.3 to 5.52","Range of Values",550,550,NA
".","Missing",1,551,NA
