"TBQ028.Code.or.Value","TBQ028.Value.Description","TBQ028.Count","TBQ028.Cumulative","TBQ028.Skip.to.Item"
"1","Yes",35,35,NA
"2","No",706,741,NA
"7","Refused",0,741,NA
"9","Don't know",12,753,NA
".","Missing",7408,8161,NA
