"OPDUSID.Code.or.Value","OPDUSID.Value.Description","OPDUSID.Count","OPDUSID.Cumulative","OPDUSID.Skip.to.Item"
"0","No",2974,2974,NA
"1","Yes",217,3191,NA
".","Missing",672,3863,NA
