"VTQ281D.Code.or.Value","VTQ281D.Value.Description","VTQ281D.Count","VTQ281D.Cumulative","VTQ281D.Skip.to.Item"
"1 to 48","Range of Values",95,95,NA
"77","Refused",0,95,NA
"99","Don't know",0,95,NA
".","Missing",3394,3489,NA
