"URXMU2.Code.or.Value","URXMU2.Value.Description","URXMU2.Count","URXMU2.Cumulative","URXMU2.Skip.to.Item"
"0.071 to 32.8","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
