"LB2SCA.Code.or.Value","LB2SCA.Value.Description","LB2SCA.Count","LB2SCA.Cumulative","LB2SCA.Skip.to.Item"
"8.1 to 11.4","Range of Values",544,544,NA
".","Missing",2,546,NA
