"OSQ120d.Code.or.Value","OSQ120d.Value.Description","OSQ120d.Count","OSQ120d.Cumulative","OSQ120d.Skip.to.Item"
"1","Yes",26,26,""
"2","No",11,37,"OSQ060"
"7","Refused",0,37,"OSQ060"
"9","Don't know",0,37,"OSQ060"
".","Missing",3032,3069,""
