"MGXH2T2.Code.or.Value","MGXH2T2.Value.Description","MGXH2T2.Count","MGXH2T2.Cumulative","MGXH2T2.Skip.to.Item"
"5 to 81.4","Range of Values",7672,7672,NA
".","Missing",619,8291,NA
