"BIXC054K.Code.or.Value","BIXC054K.Value.Description","BIXC054K.Count","BIXC054K.Cumulative","BIXC054K.Skip.to.Item"
"32.28 to 193.56","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
