"RHQ560Q.Code.or.Value","RHQ560Q.Value.Description","RHQ560Q.Count","RHQ560Q.Cumulative","RHQ560Q.Skip.to.Item"
"1 to 34","Range of Values",213,213,NA
"77","Refused",0,213,NA
"99","Don't know",5,218,NA
".","Missing",3068,3286,NA
