"DED1HDDX.Code.or.Value","DED1HDDX.Value.Description","DED1HDDX.Count","DED1HDDX.Cumulative","DED1HDDX.Skip.to.Item"
"1","Present",27,27,NA
"2","Absent",2661,2688,NA
"9","Not determined, picture missing",7,2695,NA
".","Missing",297,2992,NA
