"DX2TOBMD.Code.or.Value","DX2TOBMD.Value.Description","DX2TOBMD.Count","DX2TOBMD.Cumulative","DX2TOBMD.Skip.to.Item"
"0.818 to 1.552","Range of Values",414,414,NA
".","Missing",71,485,NA
