"SSST1_N.Code.or.Value","SSST1_N.Value.Description","SSST1_N.Count","SSST1_N.Cumulative","SSST1_N.Skip.to.Item"
"317 to 2970","Range of Values",1761,1761,NA
".","Missing",17,1778,NA
