"AUXOTSPL.Code.or.Value","AUXOTSPL.Value.Description","AUXOTSPL.Count","AUXOTSPL.Cumulative","AUXOTSPL.Skip.to.Item"
"1","Yes (checkbox checked)",2382,2382,NA
"2","No (checkbox unchecked)",568,2950,NA
".","Missing",181,3131,NA
