"SXQ530.Code.or.Value","SXQ530.Value.Description","SXQ530.Count","SXQ530.Cumulative","SXQ530.Skip.to.Item"
"0 to 20","Range of Values",1211,1211,NA
"77777","Refused",7,1218,NA
"99999","Don't know",3,1221,NA
".","Missing",3404,4625,NA
