"DXXPT72X.Code.or.Value","DXXPT72X.Value.Description","DXXPT72X.Count","DXXPT72X.Cumulative","DXXPT72X.Skip.to.Item"
"666.4 to 1202","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
