"CSXNASG.Code.or.Value","CSXNASG.Value.Description","CSXNASG.Count","CSXNASG.Cumulative","CSXNASG.Skip.to.Item"
"0 to 100","Range of Values",3218,3218,NA
".","Missing",490,3708,NA
