"AUDTYR08.Code.or.Value","AUDTYR08.Value.Description","AUDTYR08.Count","AUDTYR08.Cumulative","AUDTYR08.Skip.to.Item"
"0 to 1.63","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
