"CVDVOMAX.Code.or.Value","CVDVOMAX.Value.Description","CVDVOMAX.Count","CVDVOMAX.Cumulative","CVDVOMAX.Skip.to.Item"
"3.52 to 65.03","Range of Values",3214,3214,NA
".","Missing",1449,4663,NA
