"SLQ040.Code.or.Value","SLQ040.Value.Description","SLQ040.Count","SLQ040.Cumulative","SLQ040.Skip.to.Item"
"0","Never",4474,4474,NA
"1","Rarely - 1-2 nights a week",699,5173,NA
"2","Occasionally - 3-4 nights a week",361,5534,NA
"3","Frequently - 5 or more nights a week",280,5814,NA
"7","Refused",3,5817,NA
"9","Don't know",344,6161,NA
".","Missing",0,6161,NA
