"SSDA1_N.Code.or.Value","SSDA1_N.Value.Description","SSDA1_N.Count","SSDA1_N.Cumulative","SSDA1_N.Skip.to.Item"
"17 to 171","Range of Values",1694,1694,NA
".","Missing",84,1778,NA
