"AUXLR236.Code.or.Value","AUXLR236.Value.Description","AUXLR236.Count","AUXLR236.Cumulative","AUXLR236.Skip.to.Item"
"-19 to 67","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
