"BIXC245K.Code.or.Value","BIXC245K.Value.Description","BIXC245K.Count","BIXC245K.Cumulative","BIXC245K.Skip.to.Item"
"16.45 to 129.1","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
