"LBXPV52.Code.or.Value","LBXPV52.Value.Description","LBXPV52.Count","LBXPV52.Cumulative","LBXPV52.Skip.to.Item"
"1","Positive",175,175,NA
"2","Negative",3343,3518,NA
".","Missing",328,3846,NA
