"AUDTYL59.Code.or.Value","AUDTYL59.Value.Description","AUDTYL59.Count","AUDTYL59.Cumulative","AUDTYL59.Skip.to.Item"
"0 to 2.63","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
