"TYXP249.Code.or.Value","TYXP249.Value.Description","TYXP249.Count","TYXP249.Cumulative","TYXP249.Skip.to.Item"
"-298 to 151","Range of Values",77,77,NA
".","Missing",5508,5585,NA
