"DCQ070C.Code.or.Value","DCQ070C.Value.Description","DCQ070C.Count","DCQ070C.Cumulative","DCQ070C.Skip.to.Item"
"1","Yes",160,160,NA
"2","No",1035,1195,NA
".","Missing",72,1267,NA
